site,category,cli_ms,cli_usd,turns_cli,mcp_ms,mcp_usd,turns_mcp,notes
Demoblaze,Performance Testing,2344,0.0,,28002,0.547205,,clean-two-phase
Pet Store Web,Performance Testing,3027,0.0,,26747,0.658453,,clean-two-phase
Airport Gap,API Testing,2428,0.0,,18691,0.446372,,clean-two-phase
AP+ Developers,API Testing,3016,0.0,,20971,0.450834,,clean-two-phase
OrangeHRM,Automation Testing,5096,0.0,,28046,0.675508,,clean-two-phase
Black Box Puzzles,General Practice,3355,0.0,,28265,0.699099,,clean-two-phase;site-restored-2026-06-03
BookCart,General Practice,5041,0.0,,21177,0.584431,,clean-two-phase;site-restored-2026-06-03
PHP Travels,General Practice,12444,0.0,,36815,0.702801,,clean-two-phase;site-redesigned-submit-no-longer-crashes
Lambdatest Playground,Automation Testing,36711,0.034946,,88980,0.745375,,clean-two-phase;mcp-navigate-dead-frame-use-eval-location-href;308-refs-homepage-search-ajax-stays-on-homepage
AcademyBugs,General Practice,76820,0.222255,3,76752,1.133237,16,clean-two-phase;l3
AcademyBugs,General Practice,10356,0.018487,2,61013,0.108617,17,clean-two-phase;l3
A11y Coffee,General Practice,6620,0.013383,2,34973,0.063507,10,clean-two-phase;l3
Basic Calculator,General Practice,9469,0.018288,2,44934,0.068643,12,clean-two-phase;l3
Black Box Puzzles,General Practice,7164,0.017106,2,35509,0.057553,10,clean-two-phase;l3
BookCart,General Practice,17514,0.018684,2,38433,0.071403,11,clean-two-phase;l3
Candy Mapper,General Practice,13320,0.019146,2,37853,0.069097,10,clean-two-phase;l3
Cnarios,General Practice,45098,0.017917,2,41276,0.064281,10,clean-two-phase;l3
Evil Tester,General Practice,10515,0.021785,2,44361,0.139864,14,clean-two-phase;l3
Gefälscht CompuTech,General Practice,8821,0.020059,2,44533,0.085381,13,clean-two-phase;l3
Parabank,General Practice,9196,0.019621,2,34389,0.057092,10,clean-two-phase;l3
Parking Cost Calculator,General Practice,11649,0.020662,2,50486,0.097946,15,clean-two-phase;l3
PHP Travels,General Practice,11142,0.023367,2,53688,0.101367,14,clean-two-phase;l3
Polymer Shop,General Practice,8928,0.01413,2,31033,0.057941,9,clean-two-phase;l3
Potion Shop,General Practice,8226,0.019524,2,42220,0.074933,11,clean-two-phase;l3
Practice Software Testing,General Practice,15241,0.01997,2,61556,0.128798,19,clean-two-phase;l3
PrestaShop,General Practice,15545,0.016829,2,47687,0.076632,11,clean-two-phase;l3
BearQ,General Practice,6820,0.017269,2,43902,0.069399,11,clean-two-phase;l3;new-site
QA Practice,General Practice,11520,0.015787,2,52303,0.108796,17,clean-two-phase;l3
QA Training Simulator,General Practice,10855,0.022125,2,50566,0.080904,13,clean-two-phase;l3
Random User Generator,API Testing,11859,0.017143,2,43690,0.083337,13,clean-two-phase;l3
Real World Example Apps,General Practice,13480,0.042993,2,42298,0.089305,11,clean-two-phase;l3
testers.ai,General Practice,9442,0.02498,2,41875,0.067227,11,clean-two-phase;l3
Test Track,General Practice,27166,0.019512,2,57440,0.110937,19,clean-two-phase;l3
The Boozang Test Lab,General Practice,9409,0.020543,2,50224,0.0808,14,clean-two-phase;l3
The iframe Search Engine,General Practice,29901,0.018101,2,43240,0.099711,15,clean-two-phase;l3
The Internet,Automation Testing,22388,0.019014,2,59245,0.104447,16,clean-two-phase;l3
The Random Number Service,API Testing,12173,0.023915,2,46765,0.094044,14,clean-two-phase;l3
ToDo List,General Practice,11844,0.015422,2,59299,0.084199,13,clean-two-phase;l3
UI5 Demo Kit,General Practice,13832,0.018717,2,57399,0.114297,15,clean-two-phase;l3
PromptQA Playground,General Practice,8197,0.022558,2,64915,0.09601,14,clean-two-phase;l3;new-site
API Challenges,API Testing,21141,0.020058,2,47283,0.090543,14,clean-two-phase;l3;new-site
QuickPizza,API Testing,15330,0.017451,2,43165,0.065433,11,clean-two-phase;l3;new-site;websocket-live-visitor-count
Bill Payment API,General Practice,19411,0.035921,2,45997,0.145228,12,clean-two-phase;l3;new-site
Automation Exercise,Automation Testing,16041,0.0,0,25108,0.0,0,clean-two-phase;l3
Automation in Testing,Automation Testing,5406,0.0,0,23793,0.0,0,clean-two-phase;l3
Automation Test Store,Automation Testing,28976,0.0,0,27171,0.0,0,clean-two-phase;l3
Automation Testing Practice,Automation Testing,6859,0.0,0,32690,0.0,0,clean-two-phase;l3
Coffee Cart,Automation Testing,17957,0.0,0,25425,0.0,0,clean-two-phase;l3
Commit Quality,Automation Testing,17543,0.0,0,20014,0.0,0,clean-two-phase;l3
Contact List App,Automation Testing,9954,0.0,0,10811,0.0,0,clean-two-phase;l3
Applitools Demo,Automation Testing,10842,0.242808,10,41396,0.063913,11,clean-two-phase;l3
ATM Practice App,Automation Testing,6200,0.112011,7,37400,0.077089,12,clean-two-phase;l3
Automate Now Sandbox,Automation Testing,33486,0.300967,15,30727,0.052748,8,clean-two-phase;l3
Automation Bookstore,Automation Testing,19629,0.07463,10,33758,0.065068,10,clean-two-phase;l3
Automation Camp,Automation Testing,11173,0.057139,8,43601,0.065921,10,clean-two-phase;l3
Demo SaaS,Automation Testing,16267,0.064381,9,29383,0.052707,8,clean-two-phase;l3
DemoQA,Automation Testing,18079,0.064381,9,27151,0.052034,8,clean-two-phase;l3
Automation Exercise,Automation Testing,23004,0.024767,2,54692,0.094056,14,clean-two-phase;l3
Automation in Testing,Automation Testing,11012,0.014456,2,45691,0.08188,13,clean-two-phase;l3
Automation Test Store,Automation Testing,14071,0.027657,2,53344,0.101249,15,clean-two-phase;l3
Automation Testing Practice,Automation Testing,9892,0.019522,2,53389,0.083856,13,clean-two-phase;l3
Coffee Cart,Automation Testing,21244,0.015894,2,60082,0.115202,19,clean-two-phase;l3
Commit Quality,Automation Testing,9202,0.017974,2,49518,0.133942,14,clean-two-phase;l3;mcp-date-filter-not-found-on-practice-get
Contact List App,Automation Testing,9628,0.02007,2,53999,0.09017,16,clean-two-phase;l3
Expand Testing,Automation Testing,225804,0.020044,2,50277,0.084036,13,clean-two-phase;l3
GitHub Users Search,Automation Testing,9165,0.031921,2,37530,0.092666,12,clean-two-phase;l3
Global SQA Demo,Automation Testing,17599,0.019763,2,54398,0.084332,14,clean-two-phase;l3
GreenKart,Automation Testing,13505,0.026093,2,80317,0.122451,18,clean-two-phase;l3
Hands-On Selenium WebDriver,Automation Testing,32647,0.023127,2,70520,0.155014,24,clean-two-phase;l3
Expand Testing,Automation Testing,18382,0.018832,2,50277,0.084036,13,clean-two-phase;l3
GitHub Users Search,Automation Testing,20189,0.032777,2,37530,0.092666,12,clean-two-phase;l3
Global SQA Demo,Automation Testing,13650,0.020923,2,54398,0.084332,14,clean-two-phase;l3
GreenKart,Automation Testing,35670,0.025295,2,80317,0.122451,18,clean-two-phase;l3
Hands-On Selenium WebDriver,Automation Testing,13857,0.023187,2,70520,0.155014,24,clean-two-phase;l3
Expand Testing,Automation Testing,16807,0.018584,2,50277,0.084036,13,clean-two-phase;l3
GitHub Users Search,Automation Testing,15264,0.032611,2,37530,0.092666,12,clean-two-phase;l3
Global SQA Demo,Automation Testing,18182,0.023124,2,54398,0.084332,14,clean-two-phase;l3
GreenKart,Automation Testing,17865,0.025649,2,80317,0.122451,18,clean-two-phase;l3
Hands-On Selenium WebDriver,Automation Testing,12935,0.018737,2,70520,0.155014,24,clean-two-phase;l3
