site,category,cli_ms,cli_usd,turns_cli,mcp_ms,mcp_usd,turns_mcp,notes
Applitools Demo,Automation Testing,9840,0.007407,1,41396,0.063913,11,clean-two-phase;bracket-v2;cli-rerun-v2
ATM Practice App,Automation Testing,13669,0.041149,2,37400,0.077089,12,clean-two-phase;bracket-v2;cli-rerun-v2
Automate Now Sandbox,Automation Testing,22968,0.030675,2,30727,0.052748,8,clean-two-phase;bracket-v2;cli-rerun-v2
Automation Bookstore,Automation Testing,14132,0.023766,3,33758,0.065068,10,clean-two-phase;bracket-v2;cli-rerun-v2
Automation Camp,Automation Testing,9878,0.007407,1,43601,0.065921,10,clean-two-phase;bracket-v2;cli-rerun-v2
Automation Exercise,Automation Testing,13616,0.041149,2,54692,0.094056,14,clean-two-phase;bracket-v2;cli-rerun-v2
Automation in Testing,Automation Testing,22205,0.007686,1,45691,0.08188,13,clean-two-phase;bracket-v2;cli-rerun-v2
Automation Test Store,Automation Testing,16988,0.023766,3,53344,0.101249,15,clean-two-phase;bracket-v2;cli-rerun-v2
Automation Testing Practice,Automation Testing,12345,0.014402,2,53389,0.083856,13,clean-two-phase;bracket-v2;cli-rerun-v2
Coffee Cart,Automation Testing,12293,0.013876,2,60082,0.115202,19,clean-two-phase;bracket-v2;cli-rerun-v2
Commit Quality,Automation Testing,21856,0.007686,1,49518,0.133942,14,clean-two-phase;bracket-v2;cli-rerun-v2
Contact List App,Automation Testing,16955,0.023766,3,53999,0.09017,16,clean-two-phase;bracket-v2;cli-rerun-v2
Demo SaaS,Automation Testing,14056,0.025222,3,29383,0.052707,8,clean-two-phase;bracket-v2;cli-rerun-v2
DemoQA,Automation Testing,18911,0.008655,1,27151,0.052034,8,clean-two-phase;bracket-v2;cli-rerun-v2
Expand Testing,Automation Testing,12378,0.007052,1,50277,0.084036,13,clean-two-phase;bracket-v2;cli-rerun-v2
GitHub Users Search,Automation Testing,14264,0.023766,3,37530,0.092666,12,clean-two-phase;bracket-v2;cli-rerun-v2
